geoid,geoid20,year,denom_total_pop,tothomeless_count,totshelt_count,totunshelt_count
1400000US06037195300,6037195300,2022,2776,15,0,15
1400000US06037195400,6037195400,2022,4214,57,0,57
1400000US06037195500,6037195500,2022,5162,57,44,13
1400000US06037195600,6037195600,2022,2760,89,32,57
1400000US06037195710,6037195710,2022,4529,60,0,60
1400000US06037195720,6037195720,2022,1878,31,0,31
1400000US06037195802,6037195802,2022,2928,43,0,43
1400000US06037195803,6037195803,2022,2305,14,0,14
1400000US06037195804,6037195804,2022,2719,5,0,5
1400000US06037195901,6037195901,2022,2450,1,0,1
1400000US06037195902,6037195902,2022,1872,1,0,1
1400000US06037195903,6037195903,2022,1876,0,0,0
1400000US06037197200,6037197200,2022,3564,8,0,8
1400000US06037197300,6037197300,2022,3944,2,0,2
1400000US06037197410,6037197410,2022,3727,42,0,42
1400000US06037197420,6037197420,2022,3906,83,56,27
1400000US06037197500,6037197500,2022,3964,69,5,64
1400000US06037197600,6037197600,2022,2214,42,0,42
1400000US06037197700,6037197700,2022,5078,5,0,5
